[2026-03-19T23:24:37.186Z] {"timestamp":1773962677086,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:26:16.877Z] {"timestamp":1773962775794,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"x":1192,"y":189}}
[2026-03-19T23:26:16.877Z] {"timestamp":1773962775815,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"value":null}}
[2026-03-19T23:26:18.860Z] {"timestamp":1773962777285,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":99,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:18.860Z] {"timestamp":1773962777868,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":414,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:18.860Z] {"timestamp":1773962778390,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":614,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:20.953Z] {"timestamp":1773962778922,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":606,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:20.953Z] {"timestamp":1773962779429,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":238,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:20.953Z] {"timestamp":1773962780145,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":99,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:23.861Z] {"timestamp":1773962782304,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962784189,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962784191,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"}}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962784293,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"path","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":null,"href":null,"text":"","selectorHint":"path"},"x":1182,"y":187}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962784312,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"value":null}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962784856,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":36,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962785374,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":304,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:25.961Z] {"timestamp":1773962785905,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":347,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:27.904Z] {"timestamp":1773962786755,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":592,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:27.904Z] {"timestamp":1773962787442,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":815,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:29.863Z] {"timestamp":1773962787974,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":1103,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:29.863Z] {"timestamp":1773962788480,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":898,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:29.863Z] {"timestamp":1773962789095,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":575,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:29.863Z] {"timestamp":1773962789605,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":436,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:31.913Z] {"timestamp":1773962790125,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":257,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:26:31.913Z] {"timestamp":1773962790663,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":4,"scrollY":61,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:57.943Z] {"timestamp":1773962996791,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":26,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:57.943Z] {"timestamp":1773962997306,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":5,"scrollY":212,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:57.943Z] {"timestamp":1773962997822,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":412,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:59.967Z] {"timestamp":1773962998401,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":468,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:59.967Z] {"timestamp":1773962999161,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":468,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:29:59.967Z] {"timestamp":1773962999905,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":558,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:01.860Z] {"timestamp":1773963000646,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":927,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:01.860Z] {"timestamp":1773963001154,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":1510,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:01.860Z] {"timestamp":1773963001654,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":2071,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:03.887Z] {"timestamp":1773963002162,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":413,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:03.887Z] {"timestamp":1773963002834,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":91,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:03.887Z] {"timestamp":1773963003359,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":8,"scrollY":393,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:30:24.174Z] {"timestamp":1773963023016,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:30:54.673Z] {"timestamp":1773963053317,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:30:54.673Z] {"timestamp":1773963053363,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":0,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:31:02.649Z] {"timestamp":1773963062500,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:32:04.851Z] {"timestamp":1773963123090,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:32:04.851Z] {"timestamp":1773963124068,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:34:38.620Z] {"timestamp":1773963277745,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:34:41.288Z] {"timestamp":1773963279758,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:34:45.297Z] {"timestamp":1773963283937,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:34:45.297Z] {"timestamp":1773963283938,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"}}}
[2026-03-19T23:34:45.297Z] {"timestamp":1773963284005,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"path","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":null,"href":null,"text":"","selectorHint":"path"},"x":1183,"y":181}}
[2026-03-19T23:34:45.297Z] {"timestamp":1773963284024,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"value":null}}
[2026-03-19T23:34:55.286Z] {"timestamp":1773963293612,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"div","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\HeroSection.tsx:73","href":null,"text":"Join The Waitlist ✦ AND GET 3 FREE MONTHS","selectorHint":"[data-loc=\"client\\src\\components\\HeroSection.tsx:73\"]"},"x":1289,"y":716}}
[2026-03-19T23:34:55.286Z] {"timestamp":1773963294198,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":27,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:55.286Z] {"timestamp":1773963294697,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":387,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:55.286Z] {"timestamp":1773963295201,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":90,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:57.288Z] {"timestamp":1773963295914,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":14,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:57.288Z] {"timestamp":1773963296435,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":332,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:57.288Z] {"timestamp":1773963296935,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":788,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:34:59.282Z] {"timestamp":1773963297444,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":134,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:01.586Z] {"timestamp":1773963299919,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963301709,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963301711,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"}}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963301818,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"svg","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:149","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:149\"]"},"x":1172,"y":182}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963301835,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"value":null}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963302494,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":11,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:03.591Z] {"timestamp":1773963303006,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":162,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:05.574Z] {"timestamp":1773963303769,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":271,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:05.574Z] {"timestamp":1773963304291,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":542,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:05.574Z] {"timestamp":1773963304794,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":1067,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:35:05.574Z] {"timestamp":1773963305297,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":1754,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:36:06.525Z] {"timestamp":1773963364942,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:36:06.525Z] {"timestamp":1773963364969,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":1781,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:36:08.525Z] {"timestamp":1773963367784,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:36:08.525Z] {"timestamp":1773963367784,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"}}}
[2026-03-19T23:36:08.525Z] {"timestamp":1773963367920,"kind":"click","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"svg","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:149","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:149\"]"},"x":1172,"y":188}}
[2026-03-19T23:36:08.525Z] {"timestamp":1773963367935,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"},"value":null}}
[2026-03-19T23:51:20.866Z] {"timestamp":1773964280283,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:51:20.866Z] {"timestamp":1773964280299,"kind":"scroll","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"scrollX":0,"scrollY":1798,"documentHeight":4655,"viewportHeight":953}}
[2026-03-19T23:51:23.842Z] {"timestamp":1773964281659,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
